name, lat, long, hours
University Ave, 38.035840463304396, -78.50078625437268, 5:30AM–9PM
Newcomb, 38.035789375899014, -78.50658182904377, 8AM–8PM
Nau Hall, 38.031831656570624, -78.5052055941016, Temporarily Closed
The Meadows, 38.058768053971455, -78.49491792465665, 5:30AM–9PM
5th St SW, 38.0102434909509, -78.50556833903232, 5:30AM–9PM
Barracks, 38.05024611369379, -78.50456662738326, 8AM-9PM
Barracks, 38.05893835401281, -78.49489162738325, 5:30AM–9PM
